name_TGSS,ra_TGSS,dec_TGSS,integrated_TGSS,peak_TGSS,major_ax_TGSS,minor_ax_TGSS,posangle_TGSS,score,best_match
TGSSADR J101323.5-182956,153.34798,-18.49913,0.3567,0.1864,60.9,27.1,8.8,0.6449475291277171,NVSS J101323-182942
TGSSADR J105046.5-241354,162.69376,-24.2319,0.3479,0.1883,57.1,25.9,-15.2,0.6463940340953135,NVSS J105046-241408
TGSSADR J100051.4-201737,150.21428999999995,-20.29379,0.1005,0.0699,35.0,33.4,12.9,0.646992385907871,NVSS J100050-201740
TGSSADR J101528.1-181908,153.86731,-18.3191,0.0611,0.0446,37.6,28.4,11.0,0.6474221245684602,NVSS J101528-181922
TGSSADR J101415.7-302602,153.56573,-30.4339,0.1266,0.1052,41.6,27.8,12.9,0.6483743589459682,NVSS J101414-302606
TGSSADR J101857.2-201659,154.73853,-20.28325,0.0611,0.04,43.2,28.8,-3.1,0.6489227411343075,NVSS J101858-201659
TGSSADR J103624.8-152635,159.10365,-15.44326,0.1484,0.1379,30.8,26.2,10.9,0.6502007701944332,NVSS J103624-152623
TGSSADR J103132.7-233922,157.88628,-23.65636,0.6412000000000001,0.5447000000000001,34.0,28.8,6.4,0.6506912287871368,NVSS J103131-233922
TGSSADR J103130.9-164248,157.87906999999996,-16.71355,0.0431,0.0369,31.6,28.3,30.9,0.6523336265382635,NVSS J103130-164302
TGSSADR J101711.5-303600,154.29813,-30.60025,0.228,0.10800000000000001,66.2,33.8,76.8,0.6551317300845021,NVSS J101712-303559
TGSSADR J105431.8-190304,163.63277,-19.051170000000006,0.114,0.0408,56.7,39.2,-36.9,0.6556090086342079,NVSS J105432-190312
TGSSADR J105923.2-151905,164.84685,-15.31828,0.0352,0.0189,40.8,34.4,-27.0,0.6565008417455103,NVSS J105922-151918
TGSSADR J111558.7-301031,168.99486000000005,-30.1754,0.6853,0.2044,77.5,45.1,67.3,0.6565010665379092,NVSS J111559-301019
TGSSADR J100927.9-301536,152.36636,-30.26023,1.4295,0.61,81.7,30.8,14.8,0.6571076985466509,NVSS J100927-301550
TGSSADR J104031.0-323459,160.12956,-32.58311,0.12,0.0578,57.1,37.5,-0.0,0.6573520747147136,NVSS J104031-323509
TGSSADR J110415.8-151542,166.06593,-15.261820000000002,0.0279,0.0218,34.3,28.0,-4.1,0.6573717048454046,NVSS J110416-151553
TGSSADR J102049.9-165843,155.20811,-16.97888,0.2448,0.07440000000000001,51.8,36.7,57.0,0.6597839953147384,NVSS J102049-165852
TGSSADR J111351.8-292849,168.46603000000005,-29.48033,0.0555,0.0211,54.4,44.9,38.0,0.6602903843033527,NVSS J111352-292839
TGSSADR J104714.0-315652,161.8085,-31.94804,0.1915,0.15869999999999998,41.6,28.8,2.5,0.6606554049134257,NVSS J104712-315650
TGSSADR J102200.5-210133,155.50229,-21.02591,0.2486,0.228,33.6,26.4,6.4,0.6620749203480241,NVSS J102200-210120
TGSSADR J105250.1-153211,163.20901,-15.53649,0.0886,0.0768,32.1,27.5,9.4,0.6638876077449136,NVSS J105249-153214
TGSSADR J095829.6-263827,149.62372,-26.640940000000004,0.0362,0.0369,33.9,26.1,-4.1,0.6645205843724765,NVSS J095828-263818
TGSSADR J101700.2-261248,154.25122,-26.21356,0.0507,0.0373,45.1,27.1,-11.6,0.6647683433355833,NVSS J101659-261239
TGSSADR J103730.7-151329,159.3782,-15.22484,0.28650000000000003,0.1759,36.7,31.2,47.3,0.6658968857374665,NVSS J103731-151324
TGSSADR J104926.2-151016,162.35953,-15.17118,0.07490000000000001,0.0409,50.0,28.1,40.9,0.6664847078338154,NVSS J104926-151006
TGSSADR J103846.1-215114,159.69208999999995,-21.85406,0.05,0.045700000000000005,30.8,28.8,-29.5,0.6675486348037298,NVSS J103847-215110
TGSSADR J095705.3-294502,149.27241999999995,-29.75076,0.0584,0.0516,43.1,25.2,-3.5,0.6675563356515535,NVSS J095706-294505
TGSSADR J101509.2-313157,153.78853999999995,-31.53258,0.08140000000000001,0.07400000000000001,40.4,27.0,0.8,0.6683591043252314,NVSS J101508-313201
TGSSADR J104724.4-333535,161.85197,-33.59324,0.2264,0.045700000000000005,91.5,55.9,-6.9,0.6694363530098932,NVSS J104724-333548
TGSSADR J105244.1-281212,163.18414,-28.203470000000006,0.125,0.0977,38.6,30.8,1.6,0.6697646891086314,NVSS J105243-281219
TGSSADR J105221.0-183649,163.08751,-18.61371,0.1018,0.048700000000000014,44.0,37.9,47.9,0.6703351649723173,NVSS J105221-183642
TGSSADR J103709.9-234536,159.29129,-23.76015,0.0992,0.0925,34.3,26.7,-6.4,0.6721861244535491,NVSS J103709-234549
TGSSADR J101048.7-252239,152.70322,-25.37775,0.0403,0.0366,34.9,27.7,8.9,0.6752088305513722,NVSS J101047-252237
TGSSADR J101420.0-242128,153.58333000000005,-24.35786,0.2034,0.1778,36.7,26.6,4.6,0.6753135890990307,NVSS J101419-242118
TGSSADR J102802.7-154556,157.01134,-15.765629999999998,0.1919,0.122,35.8,33.6,-27.2,0.6756512245989539,NVSS J102803-154606
TGSSADR J104219.8-324914,160.5826,-32.820609999999995,0.0427,0.0296,51.2,29.1,7.6,0.6758943763179996,NVSS J104220-324902
TGSSADR J102339.4-152008,155.91435,-15.33564,0.0391,0.0376,30.4,25.7,6.0,0.6763391007546394,NVSS J102340-152000
TGSSADR J103827.6-245357,159.61517,-24.89927,0.1717,0.08800000000000001,42.8,38.9,17.0,0.6766411806607513,NVSS J103828-245403
